Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.6768069433457239,-5.936921513745996,3.0199224973689526,-5.70700131007311,4.096290078140039 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.5068616624675,-8.404555748388099,2.6881589889520685,-8.01027376393597,4.017097715963455 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.3197985589112188,-10.880157401783619,2.3529158864609487,-10.321081248688302,3.909513243577504 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.118993323672864,-13.362327018281537,2.0049001069940006,-12.650553829403748,3.781569152925652 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,3.0668853011222247,-13.163431119226774,1.9059568651732662,-12.507032985457272,3.6646343235140348 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,3.000155060061458,-12.98608562965907,1.8583977398093339,-12.323157962012602,3.5746353819156639 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.948188135326582,-12.807647459032362,1.8153542816055506,-12.148226365364394,3.508053234133311 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.9061523187725055,-12.629276690797252,1.7841560623487567,-11.97242174387884,3.455816732033509 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.865133172621719,-12.503879686100726,1.7573837491627274,-11.843973193887053,3.409969291330361 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.8271662531453596,-12.379875300577656,1.7310030030383815,-11.709310807632903,3.366345787759922 
